loan_id,customer_id,branch_id,loan_type,loan_amount,tenure_months,interest_rate,disbursement_date,loan_status
LN002957,CUST05802,BR024,Personal Loan,490000,36,12.27,2022-10-09,Written-Off
LN002958,CUST07552,BR001,Two-Wheeler Loan,385000,18,12.5,2022-08-31,Closed
LN002959,CUST03279,BR032,Consumer Durable,452000,36,22.2,2023-09-08,Active
LN002960,CUST00713,BR015,Two-Wheeler Loan,956000,24,12.36,2022-01-20,Closed
LN002961,CUST00858,BR017,Personal Loan,28000,48,11.41,2022-11-21,Active
LN002962,CUST06208,BR011,Personal Loan,258000,36,19.59,2021-04-16,Closed
LN002963,CUST05683,BR023,Personal Loan,331000,48,13.36,2022-10-12,Closed
LN002964,CUST00324,BR031,Personal Loan,25000,48,12.16,2022-11-22,Active
LN002965,CUST04814,BR020,Two-Wheeler Loan,119000,60,11.5,2023-02-04,Closed
LN002966,CUST06223,BR040,Consumer Durable,848000,48,16.81,2021-12-01,Active
LN002967,CUST01786,BR029,Personal Loan,1500000,18,10.96,2023-07-03,Closed
LN002968,CUST01701,BR017,Personal Loan,443000,18,12.93,2022-12-26,Active
LN002969,CUST03380,BR028,Personal Loan,323000,60,15.58,2023-12-01,Closed
LN002970,CUST06815,BR038,Personal Loan,385000,12,11.97,2022-12-19,Active
LN002971,CUST03652,BR018,Personal Loan,1191000,12,15.37,2022-03-11,Active
LN002972,CUST00950,BR014,Personal Loan,1204000,60,18.35,2021-08-25,Written-Off
LN002973,CUST00376,BR037,Personal Loan,416000,36,21.75,2023-12-01,Written-Off
LN002974,CUST02612,BR019,Personal Loan,284000,24,17.46,2021-08-07,Active
LN002975,CUST01487,BR020,Consumer Durable,264000,48,17.68,2023-12-18,Closed
LN002976,CUST04497,BR026,Consumer Durable,972000,18,12.84,2021-06-01,Written-Off
LN002977,CUST00078,BR016,Consumer Durable,1160000,18,17.13,2022-09-10,Written-Off
LN002978,CUST06968,BR035,Personal Loan,1376000,36,23.87,2021-05-23,Closed
LN002979,CUST01717,BR004,Personal Loan,984000,12,13.46,2022-11-16,Active
LN002980,CUST06132,BR033,Two-Wheeler Loan,36000,24,11.13,2023-06-02,Closed
LN002981,CUST03390,BR033,Personal Loan,76000,60,16.91,2022-05-02,Closed
LN002982,CUST04201,BR019,Personal Loan,1087000,24,22.11,2023-12-17,Active
LN002983,CUST03702,BR040,Personal Loan,60000,24,12.16,2023-05-21,Active
LN002984,CUST02074,BR013,Consumer Durable,68000,24,22.35,2023-03-21,Active
LN002985,CUST06536,BR034,Personal Loan,447000,24,20.35,2021-06-26,Active
LN002986,CUST00456,BR008,Personal Loan,186000,60,19.03,2021-10-31,Written-Off
LN002987,CUST02931,BR006,Consumer Durable,684000,24,13.2,2022-05-06,Active
LN002988,CUST04065,BR035,Two-Wheeler Loan,64000,18,15.24,2021-07-23,Closed
LN002989,CUST05926,BR008,Personal Loan,730000,12,16.86,2022-10-04,Written-Off
LN002990,CUST01749,BR035,Personal Loan,205000,24,12.57,2022-10-28,Active
LN002991,CUST06791,BR021,Personal Loan,55000,18,13.76,2022-11-19,Active
LN002992,CUST02390,BR034,Two-Wheeler Loan,1002000,24,18.19,2023-01-05,Active
LN002993,CUST01235,BR010,Two-Wheeler Loan,544000,36,21.96,2023-07-01,Written-Off
LN002994,CUST02537,BR028,Personal Loan,94000,48,14.62,2023-10-02,Active
LN002995,CUST03607,BR012,Personal Loan,1384000,48,12.22,2022-01-06,Active
LN002996,CUST00866,BR013,Personal Loan,436000,12,16.59,2022-10-26,Closed
LN002997,CUST00936,BR004,Consumer Durable,69000,36,14.36,2021-12-03,Written-Off
LN002998,CUST04437,BR032,Personal Loan,28000,48,19.9,2023-09-12,Closed
LN002999,CUST07871,BR038,Personal Loan,755000,48,15.12,2021-05-02,Closed
LN003000,CUST03768,BR023,Consumer Durable,525000,36,20.17,2023-08-04,Active
LN003001,CUST07887,BR023,Personal Loan,125000,12,18.41,2023-09-30,Active
LN003002,CUST07448,BR020,Personal Loan,1469000,36,20.22,2022-09-04,Active
LN003003,CUST06952,BR036,Personal Loan,614000,24,23.82,2022-09-27,Active
LN003004,CUST02460,BR032,Personal Loan,1293000,36,17.99,2021-07-10,Active
LN003005,CUST00970,BR036,Personal Loan,456000,18,11.68,2023-06-13,Closed
LN003006,CUST02328,BR013,Personal Loan,70000,12,13.53,2022-02-18,Closed
LN003007,CUST03606,BR023,Consumer Durable,88000,36,16.0,2021-12-22,Active
LN003008,CUST07309,BR032,Personal Loan,26000,18,11.49,2022-05-31,Written-Off
LN003009,CUST06524,BR029,Personal Loan,302000,48,14.2,2023-05-13,Closed
LN003010,CUST02157,BR001,Two-Wheeler Loan,723000,24,17.1,2021-12-10,Active
LN003011,CUST05605,BR024,Personal Loan,60000,24,12.32,2023-03-31,Closed
LN003012,CUST02420,BR017,Personal Loan,1234000,12,18.76,2021-03-17,Active
LN003013,CUST07773,BR028,Two-Wheeler Loan,144000,24,17.16,2021-03-07,Active
LN003014,CUST05470,BR018,Personal Loan,49000,60,18.76,2023-10-11,Closed
LN003015,CUST07740,BR031,Personal Loan,41000,18,19.35,2023-12-02,Active
LN003016,CUST07497,BR015,Personal Loan,67000,12,19.41,2023-07-27,Closed
LN003017,CUST07590,BR036,Personal Loan,70000,12,21.05,2021-08-01,Written-Off
LN003018,CUST02575,BR026,Personal Loan,166000,18,14.91,2021-05-12,Written-Off
LN003019,CUST00868,BR026,Personal Loan,441000,48,16.75,2023-07-11,Closed
LN003020,CUST04990,BR029,Two-Wheeler Loan,912000,24,17.16,2023-06-27,Closed
LN003021,CUST00227,BR039,Consumer Durable,46000,48,11.11,2023-07-25,Closed
LN003022,CUST06735,BR036,Consumer Durable,864000,24,18.53,2022-06-11,Closed
LN003023,CUST05487,BR040,Personal Loan,507000,48,12.93,2022-12-02,Closed
LN003024,CUST00092,BR002,Personal Loan,46000,60,10.95,2023-03-17,Closed
LN003025,CUST01719,BR030,Personal Loan,494000,48,21.35,2023-02-06,Active
LN003026,CUST02754,BR020,Personal Loan,1426000,36,14.51,2021-02-04,Active
LN003027,CUST01597,BR031,Personal Loan,30000,48,22.59,2021-05-06,Active
LN003028,CUST04095,BR026,Two-Wheeler Loan,48000,48,16.55,2021-10-26,Active
LN003029,CUST03704,BR032,Personal Loan,162000,12,23.59,2023-03-23,Active
LN003030,CUST04116,BR034,Personal Loan,45000,60,15.5,2023-09-18,Active
LN003031,CUST03619,BR038,Personal Loan,267000,48,12.17,2021-03-21,Active
LN003032,CUST03639,BR001,Two-Wheeler Loan,734000,36,16.75,2022-04-19,Closed
LN003033,CUST02135,BR031,Two-Wheeler Loan,336000,48,17.09,2022-10-28,Active
LN003034,CUST01772,BR034,Consumer Durable,85000,24,18.01,2021-03-02,Active
LN003035,CUST05513,BR027,Two-Wheeler Loan,196000,12,20.59,2023-06-29,Closed
LN003036,CUST05856,BR038,Personal Loan,37000,12,18.34,2023-08-17,Closed
LN003037,CUST00733,BR025,Two-Wheeler Loan,225000,24,11.24,2023-12-07,Active
LN003038,CUST01529,BR022,Personal Loan,668000,60,15.74,2021-02-02,Closed
LN003039,CUST07191,BR035,Personal Loan,385000,18,20.05,2023-07-12,Closed
LN003040,CUST04888,BR012,Personal Loan,327000,24,15.02,2021-03-22,Closed
LN003041,CUST05489,BR018,Personal Loan,1273000,36,23.65,2023-05-17,Closed
LN003042,CUST02829,BR007,Personal Loan,615000,36,16.94,2022-04-11,Active
LN003043,CUST00996,BR014,Personal Loan,1011000,36,21.4,2022-06-27,Active
LN003044,CUST01665,BR031,Personal Loan,1136000,36,18.59,2023-07-11,Written-Off
LN003045,CUST01373,BR040,Personal Loan,787000,24,23.8,2022-10-13,Closed
LN003046,CUST04513,BR025,Personal Loan,64000,18,11.35,2022-09-18,Active
LN003047,CUST02118,BR023,Two-Wheeler Loan,237000,24,11.64,2021-03-04,Active
LN003048,CUST06467,BR028,Personal Loan,50000,24,18.0,2021-09-10,Closed
LN003049,CUST03301,BR017,Personal Loan,115000,18,23.88,2021-07-03,Active
LN003050,CUST03794,BR028,Consumer Durable,64000,60,22.45,2021-10-21,Closed
LN003051,CUST05474,BR034,Consumer Durable,776000,48,20.4,2021-01-14,Closed
LN003052,CUST01241,BR021,Personal Loan,1330000,18,22.18,2021-08-27,Active
LN003053,CUST07966,BR004,Two-Wheeler Loan,1074000,18,17.15,2022-12-02,Active
LN003054,CUST00864,BR033,Personal Loan,406000,36,11.55,2022-12-26,Active
LN003055,CUST04558,BR005,Personal Loan,53000,60,17.94,2023-11-16,Closed
LN003056,CUST05445,BR005,Two-Wheeler Loan,69000,18,22.84,2021-11-13,Active
LN003057,CUST02274,BR011,Two-Wheeler Loan,920000,36,21.02,2021-10-02,Closed
LN003058,CUST05111,BR036,Personal Loan,103000,12,10.8,2023-11-08,Written-Off
LN003059,CUST07174,BR003,Personal Loan,57000,60,14.33,2022-03-22,Active
LN003060,CUST05432,BR010,Personal Loan,72000,18,22.77,2023-03-26,Closed
LN003061,CUST02784,BR035,Consumer Durable,991000,60,22.8,2022-05-24,Active
LN003062,CUST03304,BR025,Personal Loan,1328000,60,20.83,2021-06-12,Closed
LN003063,CUST04369,BR011,Two-Wheeler Loan,1429000,12,19.68,2021-07-09,Active
LN003064,CUST02903,BR004,Two-Wheeler Loan,477000,60,10.98,2022-03-13,Active
LN003065,CUST04119,BR006,Personal Loan,35000,60,22.33,2022-08-12,Closed
LN003066,CUST05259,BR007,Personal Loan,1331000,24,12.92,2021-08-30,Closed
LN003067,CUST06358,BR022,Two-Wheeler Loan,525000,48,15.09,2021-05-29,Closed
LN003068,CUST07954,BR028,Personal Loan,34000,24,22.59,2022-03-20,Active
LN003069,CUST03087,BR007,Personal Loan,1177000,36,22.39,2021-06-23,Closed
LN003070,CUST04989,BR019,Consumer Durable,25000,12,15.38,2023-06-07,Active
LN003071,CUST07366,BR018,Personal Loan,465000,18,15.57,2023-02-24,Closed
LN003072,CUST00918,BR008,Two-Wheeler Loan,60000,12,14.04,2022-02-17,Closed
LN003073,CUST02945,BR018,Two-Wheeler Loan,50000,60,19.14,2021-07-16,Active
LN003074,CUST05660,BR013,Consumer Durable,53000,24,22.76,2021-09-26,Active
LN003075,CUST00535,BR017,Personal Loan,112000,24,19.69,2022-02-09,Active
LN003076,CUST06804,BR002,Consumer Durable,74000,12,21.52,2021-01-13,Active
LN003077,CUST04241,BR027,Personal Loan,99000,60,15.89,2021-08-31,Active
LN003078,CUST05270,BR008,Consumer Durable,70000,12,16.61,2021-10-11,Active
LN003079,CUST05076,BR006,Two-Wheeler Loan,98000,36,21.62,2021-07-25,Active
LN003080,CUST07212,BR032,Two-Wheeler Loan,160000,48,18.28,2021-07-06,Closed
LN003081,CUST02998,BR019,Personal Loan,299000,36,14.71,2022-03-08,Active
LN003082,CUST06942,BR001,Consumer Durable,640000,48,23.19,2021-07-05,Closed
LN003083,CUST03028,BR008,Personal Loan,48000,24,16.71,2021-05-19,Written-Off
LN003084,CUST03742,BR028,Personal Loan,778000,48,10.65,2023-05-24,Active
LN003085,CUST05652,BR029,Personal Loan,492000,12,10.77,2022-09-20,Active
LN003086,CUST07419,BR026,Personal Loan,644000,24,16.36,2021-11-25,Active
LN003087,CUST04335,BR004,Personal Loan,90000,24,16.13,2023-09-20,Written-Off
LN003088,CUST00794,BR011,Personal Loan,96000,24,12.47,2022-03-27,Active
LN003089,CUST04629,BR039,Personal Loan,377000,12,19.75,2022-11-29,Written-Off
LN003090,CUST00061,BR013,Two-Wheeler Loan,481000,60,20.16,2023-09-21,Written-Off
LN003091,CUST06754,BR015,Personal Loan,1236000,18,20.1,2021-03-06,Active
LN003092,CUST03743,BR028,Personal Loan,625000,48,22.1,2022-08-18,Closed
LN003093,CUST03381,BR018,Personal Loan,1359000,60,21.33,2021-09-01,Active
LN003094,CUST04396,BR002,Personal Loan,1332000,12,12.04,2022-05-29,Closed
LN003095,CUST05018,BR012,Personal Loan,1004000,60,12.34,2023-10-01,Active
LN003096,CUST05591,BR027,Personal Loan,405000,48,21.92,2022-05-03,Written-Off
LN003097,CUST03943,BR032,Personal Loan,192000,18,18.54,2021-08-21,Closed
LN003098,CUST00917,BR003,Personal Loan,1259000,24,21.28,2021-01-31,Active
LN003099,CUST03961,BR031,Personal Loan,319000,36,17.5,2022-04-29,Active
LN003100,CUST00331,BR016,Personal Loan,215000,60,23.39,2021-10-03,Active
LN003101,CUST02742,BR029,Two-Wheeler Loan,1148000,12,12.41,2022-07-12,Active
LN003102,CUST04488,BR036,Personal Loan,72000,18,23.21,2022-04-25,Active
LN003103,CUST07419,BR033,Consumer Durable,545000,12,12.1,2023-10-05,Closed
LN003104,CUST00261,BR014,Personal Loan,629000,12,11.23,2023-09-10,Closed
LN003105,CUST02253,BR010,Two-Wheeler Loan,433000,12,21.98,2021-07-24,Written-Off
LN003106,CUST00265,BR035,Personal Loan,479000,12,15.84,2021-12-29,Active
LN003107,CUST00198,BR024,Two-Wheeler Loan,1312000,60,11.12,2021-07-10,Closed
LN003108,CUST01123,BR012,Consumer Durable,324000,18,15.97,2023-12-23,Closed
LN003109,CUST07992,BR020,Personal Loan,286000,36,10.89,2022-12-24,Closed
LN003110,CUST01025,BR013,Personal Loan,97000,24,23.83,2021-01-29,Active
LN003111,CUST05294,BR013,Consumer Durable,92000,24,21.81,2022-01-21,Active
LN003112,CUST00649,BR032,Personal Loan,964000,60,20.88,2023-12-05,Closed
LN003113,CUST00409,BR026,Consumer Durable,46000,24,17.32,2022-06-29,Closed
LN003114,CUST00048,BR036,Personal Loan,330000,12,11.14,2021-03-12,Active
LN003115,CUST00111,BR017,Personal Loan,1433000,36,21.24,2021-08-22,Active
LN003116,CUST03853,BR002,Personal Loan,291000,36,19.62,2021-06-15,Active
LN003117,CUST04585,BR005,Personal Loan,1115000,12,11.89,2023-11-20,Active
LN003118,CUST01449,BR038,Personal Loan,632000,48,20.13,2022-09-11,Active
LN003119,CUST03086,BR011,Personal Loan,40000,60,16.54,2021-10-17,Active
LN003120,CUST07800,BR015,Two-Wheeler Loan,61000,12,14.55,2022-09-26,Closed
LN003121,CUST05891,BR007,Personal Loan,365000,18,15.81,2022-12-12,Active
LN003122,CUST04517,BR021,Personal Loan,39000,12,18.04,2021-07-22,Closed
LN003123,CUST00097,BR002,Consumer Durable,235000,24,14.35,2022-01-17,Active
LN003124,CUST02036,BR022,Personal Loan,1408000,24,14.06,2021-03-04,Active
LN003125,CUST05643,BR012,Personal Loan,883000,36,21.48,2023-10-02,Active
LN003126,CUST04731,BR002,Consumer Durable,115000,60,12.93,2021-05-23,Active
LN003127,CUST05075,BR037,Personal Loan,787000,60,17.56,2023-09-06,Closed
LN003128,CUST00107,BR017,Personal Loan,559000,60,15.95,2022-09-07,Closed
LN003129,CUST07496,BR026,Personal Loan,37000,18,18.72,2021-11-07,Closed
LN003130,CUST06127,BR012,Consumer Durable,281000,12,15.21,2021-10-18,Active
LN003131,CUST02209,BR020,Personal Loan,1342000,48,15.87,2023-05-07,Active
LN003132,CUST03662,BR018,Consumer Durable,41000,18,16.25,2021-02-13,Closed
LN003133,CUST03209,BR008,Two-Wheeler Loan,112000,18,11.78,2023-11-22,Active
LN003134,CUST03638,BR008,Personal Loan,820000,36,20.54,2022-04-06,Active
LN003135,CUST01773,BR029,Two-Wheeler Loan,193000,60,23.05,2022-04-01,Closed
LN003136,CUST06859,BR030,Personal Loan,283000,36,11.88,2023-11-27,Closed
LN003137,CUST07814,BR019,Consumer Durable,434000,36,14.86,2021-04-13,Closed
LN003138,CUST05648,BR021,Two-Wheeler Loan,36000,36,19.26,2022-11-08,Written-Off
LN003139,CUST03376,BR017,Personal Loan,148000,18,11.42,2022-09-08,Closed
LN003140,CUST06952,BR018,Personal Loan,256000,60,20.91,2021-05-13,Written-Off
LN003141,CUST00823,BR010,Consumer Durable,322000,60,12.88,2021-07-01,Closed
LN003142,CUST04667,BR008,Personal Loan,1246000,12,13.4,2022-05-22,Active
LN003143,CUST06665,BR005,Personal Loan,317000,48,22.64,2023-12-06,Written-Off
LN003144,CUST00660,BR034,Personal Loan,31000,18,16.79,2023-06-04,Written-Off
LN003145,CUST00107,BR028,Personal Loan,47000,12,21.19,2021-06-19,Active
LN003146,CUST03979,BR028,Personal Loan,967000,18,18.5,2022-02-07,Active
LN003147,CUST06365,BR040,Two-Wheeler Loan,432000,12,23.73,2023-07-13,Closed
LN003148,CUST04601,BR022,Personal Loan,1355000,12,14.46,2022-01-02,Closed
LN003149,CUST03566,BR028,Personal Loan,211000,18,17.77,2023-10-17,Closed
LN003150,CUST05618,BR009,Consumer Durable,82000,12,13.27,2021-07-02,Closed
LN003151,CUST02480,BR012,Consumer Durable,424000,12,11.87,2021-02-14,Closed
LN003152,CUST01673,BR003,Two-Wheeler Loan,89000,12,17.38,2022-05-18,Active
LN003153,CUST01541,BR014,Two-Wheeler Loan,98000,12,22.29,2022-03-17,Active
LN003154,CUST06828,BR031,Personal Loan,25000,24,12.04,2021-03-04,Closed
LN003155,CUST01749,BR003,Two-Wheeler Loan,65000,12,19.86,2021-09-26,Active
LN003156,CUST02406,BR001,Personal Loan,87000,36,23.95,2021-10-04,Active
LN003157,CUST07370,BR036,Personal Loan,759000,24,14.01,2022-11-17,Closed
LN003158,CUST03876,BR019,Consumer Durable,253000,18,13.12,2022-12-15,Active
LN003159,CUST03819,BR013,Personal Loan,1435000,36,12.07,2023-01-07,Active
LN003160,CUST00324,BR023,Personal Loan,310000,48,12.29,2022-09-29,Active
LN003161,CUST03260,BR013,Personal Loan,897000,18,14.27,2023-01-13,Closed
LN003162,CUST05323,BR020,Personal Loan,36000,18,23.18,2023-07-04,Active
LN003163,CUST06442,BR040,Personal Loan,93000,60,14.47,2022-08-24,Active
LN003164,CUST03883,BR005,Personal Loan,847000,48,14.39,2022-01-22,Written-Off
LN003165,CUST07080,BR029,Consumer Durable,53000,12,21.44,2022-09-11,Closed
LN003166,CUST04994,BR038,Two-Wheeler Loan,412000,60,23.87,2022-06-12,Active
LN003167,CUST04181,BR018,Personal Loan,109000,48,10.51,2021-02-09,Closed
LN003168,CUST01586,BR008,Consumer Durable,350000,36,14.0,2022-05-10,Closed
LN003169,CUST05700,BR010,Personal Loan,1392000,12,16.24,2022-04-10,Active
LN003170,CUST04954,BR002,Personal Loan,72000,12,16.37,2023-05-30,Active
LN003171,CUST03409,BR001,Personal Loan,1455000,36,19.72,2021-12-15,Written-Off
LN003172,CUST00875,BR020,Personal Loan,114000,60,13.94,2022-09-20,Active
LN003173,CUST00376,BR035,Two-Wheeler Loan,1005000,48,19.12,2021-12-10,Closed
LN003174,CUST01539,BR021,Consumer Durable,168000,12,10.88,2023-06-21,Active
LN003175,CUST05381,BR024,Personal Loan,464000,12,18.22,2021-12-12,Active
LN003176,CUST06781,BR039,Personal Loan,97000,18,14.0,2023-01-03,Active
LN003177,CUST04322,BR011,Personal Loan,34000,18,23.19,2023-08-16,Active
LN003178,CUST00064,BR015,Personal Loan,585000,48,15.96,2021-11-12,Written-Off
LN003179,CUST07648,BR022,Consumer Durable,120000,24,14.07,2023-08-09,Active
LN003180,CUST04751,BR019,Consumer Durable,836000,24,17.34,2021-09-22,Written-Off
LN003181,CUST03580,BR021,Two-Wheeler Loan,552000,12,14.49,2021-11-30,Active
LN003182,CUST00953,BR021,Personal Loan,109000,48,21.96,2021-11-01,Active
LN003183,CUST07000,BR035,Two-Wheeler Loan,54000,48,12.96,2021-06-12,Closed
LN003184,CUST07672,BR003,Personal Loan,289000,18,23.2,2021-06-18,Active
LN003185,CUST02989,BR007,Personal Loan,78000,12,16.79,2023-11-02,Active
LN003186,CUST05986,BR023,Personal Loan,167000,12,10.52,2023-11-05,Closed
LN003187,CUST04041,BR037,Personal Loan,34000,24,11.17,2022-10-14,Closed
LN003188,CUST02412,BR003,Personal Loan,1363000,12,10.94,2022-01-03,Active
LN003189,CUST02847,BR030,Personal Loan,968000,12,16.96,2021-11-03,Written-Off
LN003190,CUST07316,BR030,Consumer Durable,475000,48,22.15,2022-04-26,Active
LN003191,CUST05603,BR008,Personal Loan,346000,48,13.28,2021-08-10,Active
LN003192,CUST04616,BR009,Personal Loan,47000,60,13.05,2021-11-14,Active
LN003193,CUST04838,BR020,Personal Loan,57000,60,21.27,2022-02-06,Closed
LN003194,CUST00590,BR017,Consumer Durable,1073000,48,23.52,2023-04-03,Active
LN003195,CUST03603,BR033,Personal Loan,61000,12,23.87,2022-05-09,Active
LN003196,CUST01320,BR017,Consumer Durable,1327000,18,14.81,2021-06-25,Closed
LN003197,CUST02610,BR039,Personal Loan,755000,24,21.35,2022-05-13,Active
LN003198,CUST04578,BR034,Personal Loan,87000,60,12.05,2021-09-03,Written-Off
LN003199,CUST06479,BR018,Personal Loan,813000,12,22.44,2022-08-09,Active
LN003200,CUST05674,BR002,Personal Loan,380000,36,12.18,2023-01-21,Active
LN003201,CUST06891,BR015,Personal Loan,1472000,18,18.46,2021-02-23,Active
LN003202,CUST04540,BR027,Personal Loan,136000,12,14.9,2021-02-27,Active
LN003203,CUST02776,BR037,Personal Loan,1301000,48,20.24,2023-11-24,Active
LN003204,CUST07871,BR004,Consumer Durable,41000,12,18.25,2022-05-11,Written-Off
LN003205,CUST01088,BR020,Personal Loan,60000,18,21.8,2021-04-24,Closed
LN003206,CUST00302,BR038,Two-Wheeler Loan,1385000,18,21.57,2021-10-12,Active
LN003207,CUST01039,BR036,Personal Loan,1381000,48,18.58,2021-11-07,Active
LN003208,CUST04045,BR013,Two-Wheeler Loan,353000,60,16.0,2021-12-14,Closed
LN003209,CUST00431,BR032,Personal Loan,87000,36,23.94,2023-06-13,Active
LN003210,CUST07369,BR034,Personal Loan,59000,12,13.48,2023-10-30,Active
LN003211,CUST01219,BR010,Two-Wheeler Loan,65000,12,22.94,2021-05-26,Active
LN003212,CUST02468,BR024,Consumer Durable,1025000,60,18.57,2021-01-22,Active
LN003213,CUST07402,BR029,Consumer Durable,338000,60,22.54,2022-06-29,Closed
LN003214,CUST03483,BR030,Consumer Durable,55000,36,22.51,2023-07-07,Closed
LN003215,CUST05509,BR036,Two-Wheeler Loan,186000,12,22.52,2021-03-03,Written-Off
LN003216,CUST06606,BR017,Two-Wheeler Loan,77000,48,22.44,2022-09-25,Closed
LN003217,CUST02858,BR012,Personal Loan,625000,18,20.8,2022-11-18,Closed
LN003218,CUST01763,BR010,Two-Wheeler Loan,355000,60,18.34,2021-08-30,Closed
LN003219,CUST01915,BR013,Personal Loan,74000,24,15.75,2022-04-08,Active
LN003220,CUST03655,BR017,Personal Loan,36000,18,23.38,2023-04-26,Active
LN003221,CUST01847,BR032,Personal Loan,99000,60,17.73,2023-05-25,Active
LN003222,CUST06649,BR010,Personal Loan,73000,24,23.16,2021-05-12,Active
LN003223,CUST05742,BR011,Personal Loan,278000,24,18.91,2023-10-30,Active
LN003224,CUST00156,BR011,Consumer Durable,418000,24,11.93,2022-10-18,Active
LN003225,CUST02067,BR018,Consumer Durable,93000,48,12.51,2023-10-12,Closed
LN003226,CUST07911,BR001,Consumer Durable,52000,12,23.69,2022-06-10,Active
LN003227,CUST07502,BR031,Consumer Durable,120000,12,10.53,2021-02-27,Active
LN003228,CUST03458,BR037,Two-Wheeler Loan,101000,48,13.95,2023-05-11,Closed
LN003229,CUST01063,BR033,Personal Loan,107000,48,23.31,2021-01-13,Closed
LN003230,CUST07433,BR019,Two-Wheeler Loan,96000,18,19.01,2021-06-25,Written-Off
LN003231,CUST03211,BR009,Personal Loan,282000,48,23.86,2021-12-20,Closed
LN003232,CUST03611,BR026,Personal Loan,1383000,60,12.12,2021-11-07,Closed
LN003233,CUST06177,BR004,Consumer Durable,717000,18,16.83,2021-07-18,Written-Off
LN003234,CUST06656,BR007,Personal Loan,1072000,36,12.05,2021-07-07,Closed
LN003235,CUST02156,BR018,Personal Loan,91000,18,22.21,2021-12-08,Closed
LN003236,CUST05004,BR014,Consumer Durable,807000,12,22.47,2023-04-17,Active
LN003237,CUST04679,BR034,Two-Wheeler Loan,328000,48,14.4,2022-06-28,Active
LN003238,CUST07911,BR021,Personal Loan,332000,36,17.34,2021-10-01,Written-Off
LN003239,CUST00131,BR008,Personal Loan,85000,18,18.77,2022-09-13,Written-Off
LN003240,CUST03749,BR028,Personal Loan,323000,12,13.9,2021-06-07,Active
LN003241,CUST03169,BR024,Two-Wheeler Loan,209000,60,19.24,2023-10-25,Written-Off
LN003242,CUST02929,BR039,Personal Loan,1265000,24,19.3,2021-10-19,Written-Off
LN003243,CUST03862,BR018,Consumer Durable,151000,18,20.18,2022-02-20,Closed
LN003244,CUST07521,BR013,Two-Wheeler Loan,310000,24,11.97,2021-11-24,Active
LN003245,CUST03583,BR001,Personal Loan,823000,60,15.58,2023-09-14,Active
LN003246,CUST07952,BR009,Personal Loan,141000,36,15.6,2021-03-15,Active
LN003247,CUST03596,BR006,Personal Loan,284000,48,18.07,2021-01-16,Active
LN003248,CUST00376,BR029,Two-Wheeler Loan,493000,60,19.46,2023-02-18,Closed
LN003249,CUST05442,BR014,Personal Loan,849000,24,12.16,2023-11-28,Active
LN003250,CUST05926,BR033,Consumer Durable,204000,60,18.78,2023-08-21,Active
LN003251,CUST03743,BR027,Personal Loan,453000,18,16.19,2023-03-04,Closed
LN003252,CUST06972,BR031,Personal Loan,649000,48,15.15,2021-11-01,Active
LN003253,CUST04553,BR008,Consumer Durable,817000,60,10.78,2021-04-15,Closed
LN003254,CUST00160,BR018,Personal Loan,34000,24,18.65,2021-01-14,Closed
LN003255,CUST06891,BR034,Consumer Durable,96000,36,17.72,2023-10-12,Closed
LN003256,CUST04398,BR012,Consumer Durable,88000,48,13.66,2021-12-22,Active
LN003257,CUST01704,BR018,Personal Loan,332000,12,17.33,2022-08-25,Closed
LN003258,CUST05201,BR005,Consumer Durable,985000,18,16.42,2023-02-18,Closed
LN003259,CUST03771,BR026,Personal Loan,403000,18,21.9,2021-03-21,Closed
LN003260,CUST07647,BR035,Consumer Durable,125000,48,23.83,2022-12-27,Closed
LN003261,CUST03953,BR010,Two-Wheeler Loan,95000,24,12.62,2023-09-23,Active
LN003262,CUST04737,BR010,Personal Loan,115000,24,18.21,2022-02-16,Active
LN003263,CUST01401,BR005,Two-Wheeler Loan,35000,24,23.64,2021-09-19,Active
LN003264,CUST03505,BR028,Consumer Durable,50000,48,11.22,2023-05-10,Active
LN003265,CUST00674,BR030,Personal Loan,927000,48,20.81,2021-11-18,Active
LN003266,CUST01427,BR018,Consumer Durable,1055000,48,15.88,2023-06-11,Closed
LN003267,CUST04747,BR031,Personal Loan,40000,12,21.24,2023-12-27,Active
LN003268,CUST02558,BR035,Personal Loan,198000,36,17.14,2021-12-09,Closed
LN003269,CUST05204,BR001,Two-Wheeler Loan,90000,18,13.74,2022-08-03,Closed
LN003270,CUST07022,BR016,Personal Loan,1284000,12,17.66,2023-01-16,Written-Off
LN003271,CUST02378,BR011,Personal Loan,92000,48,12.4,2023-02-10,Closed
LN003272,CUST00525,BR025,Personal Loan,215000,24,17.52,2023-10-01,Active
LN003273,CUST06212,BR025,Personal Loan,148000,48,13.33,2022-01-09,Written-Off
LN003274,CUST02919,BR038,Personal Loan,52000,24,12.59,2023-03-10,Active
LN003275,CUST04807,BR019,Two-Wheeler Loan,627000,60,12.71,2021-11-27,Active
LN003276,CUST06163,BR023,Two-Wheeler Loan,191000,24,11.97,2022-07-07,Closed
LN003277,CUST03856,BR013,Two-Wheeler Loan,342000,24,13.82,2022-11-13,Active
LN003278,CUST04133,BR010,Personal Loan,32000,18,16.89,2021-09-20,Active
LN003279,CUST06639,BR021,Personal Loan,44000,48,12.08,2021-03-19,Active
LN003280,CUST03015,BR019,Two-Wheeler Loan,698000,24,10.99,2023-04-10,Active
